"header","predicate","type","value","attribute","subject_id"
"Symbol","rdfs:label","plain",,,"$root"
"Symbol_Name","skos:prefLabel","language",,"en","$root"
"Phonetic_Description","skos:definition","language",,"en","$root"
"Status","skos:note","language",,"en","$root"
"UCS_Code","ipav:ucsCode","plain",,,"$root"
"AFII_Code","ipav:afiiCode","datatype",,"xsd:hexBinary","$root"
"$constant","skos:inScheme","iri","https://www.internationalphoneticassociation.org/symbol/",,"$root"
"$constant","skos:inCollection","iri","https://www.internationalphoneticassociation.org/symbol/transcription",,"$root"
"Phonetic_Description","rdfs:comment","language",,"en","$root"
"$constant","rdfs:isDefinedBy","iri","https://www.internationalphoneticassociation.org/symbol/",,"$root"
